Sample #,Date Collected,Sampling Time,Time Of Low Tide,Julian Day,Site Code,Site Name,Site Latitude,Site Longitude,Air Temperature,Surface Water Temperature,Water Temperature At -3 Feet,Salinity,Chlorophyll,Oyster Tissue Temperature,"Total Vibrio Parahaemolyticus, Water","Tdh+ Vibrio Parahaemolyticus, Water","Total Vibrio Parahaemolyticus, Net Tow","Tdh+ Vibrio Parahaemolyticus, Net Tow","Total Vibrio Parahemolyticus, Oyster","Tdh+ Vibrio Parahaemolyticus, Oyster",Record Number,Accessed Date,Source Url,Preferred Citation
442,2008-07-01 00:00:00,2008-07-01 11:00:00,2008-07-01 09:50:00,182,JCMI005,Mystery Bay,48.0569,-122.69488,18.7,19.2,19,28,8.839,21.1,4220,2060,11100,5110,0,0,Row 1 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
438,2008-07-01 00:00:00,2008-07-01 09:00:00,2008-07-01 07:00:00,182,PAWB002,Nahcotta,46.45461,-124.00977,14.8,17.8,17.8,24,5.438,14,6950,0,1780,868,9.3,0,Row 2 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
439,2008-07-01 00:00:00,2008-07-01 12:00:00,2008-07-01 10:50:00,182,TCSS0E0,Eld Inlet,47.11399,-122.94886,18.2,21.2,21.4,21,5.066,26.4,17400,9660,15.1,2.98,75,.036,Row 3 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
443,2008-07-02 00:00:00,2008-07-02 09:50:00,2008-07-02 10:52:00,183,KPHC012,Misery point,47.65506,-122.82842,22.2,18.9,,0,58.345,,14000,5470,,,,,Row 4 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
445,2008-07-02 00:00:00,2008-07-02 12:30:00,2008-07-02 12:00:00,183,MCHI018,Hammersley Inlet,47.20665,-123.01017,24.7,18.7,18.7,27,,25.2,,,62900,23500,2.3,0,Row 5 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
446,2008-07-02 00:00:00,2008-07-02 11:15:00,2008-07-02 12:00:00,183,MCSS013,Oakland Bay,47.22503,-123.0373,21,20.9,20,27,2.732,23.8,13000,2620,1420,428,2.3,0,Row 6 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
447,2008-07-02 00:00:00,2008-07-02 10:00:00,2008-07-02 10:55:00,183,MCSS018,Totten Inlet,47.143,-123.06354,24,17.8,17.8,25,1.532,23.6,72500,81000,2560,1730,15,0,Row 7 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
444,2008-07-02 00:00:00,2008-07-02 11:20:00,2008-07-02 10:40:00,183,SKSB009,Samish Bay,48.58865,-122.48548,15.1,18.9,18.7,9,1.406,22.8,1850000,1330000,31000,14800,2.3,0,Row 8 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
448,2008-07-02 00:00:00,2008-07-02 09:30:00,2008-07-02 11:00:00,183,TCSS0T2,South Totten Inlet,47.11496,-123.02234,18,17.9,17.5,33,3.165,19.8,359000,18800,4100,1510,,,Row 9 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
449,2008-07-07 00:00:00,2008-07-07 10:15:00,2008-07-07 10:50:00,188,GHGH000,Grays Habor,46.96043,-124.03574,15.9,17.3,17.5,24,3.213,16.4,4000,5610,94.5,45.9,9.3,.092,Row 10 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
450,2008-07-07 00:00:00,2008-07-07 12:35:00,2008-07-07 11:40:00,188,PAWB002,Nahcotta,46.45461,-124.00977,17.7,17.8,17.2,22,9.871,21.1,1650,690,0,0,2.3,0,Row 11 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
451,2008-07-07 00:00:00,2008-07-07 14:15:00,2008-07-07 14:40:00,188,SKSB009,Samish Bay,48.58865,-122.48548,17.7,21.17,21.19,27,1.791,22.9,2650,1110,,,2.3,0,Row 12 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
456,2008-07-08 00:00:00,2008-07-08 17:25:00,2008-07-08 17:33:00,189,MCHI018,Hammersley Inlet,47.20665,-123.01017,19.3,19.8,19.7,26,1.789,26.5,452,150,118,57.8,1.5,0,Row 13 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
455,2008-07-08 00:00:00,2008-07-08 18:45:00,2008-07-08 17:33:00,189,MCSS013,Oakland Bay,47.22503,-123.0373,27.3,23.1,22.8,29,4.11,24.4,3080,1570,6.09,3.49,.92,0,Row 14 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
454,2008-07-08 00:00:00,2008-07-08 15:50:00,2008-07-08 16:25:00,189,MCSS018,Totten Inlet,47.143,-123.06354,30.3,23.6,23.3,23,3.153,26.9,396,75.8,160,63.5,2.3,0,Row 15 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
452,2008-07-08 00:00:00,2008-07-08 14:45:00,2008-07-08 16:30:00,189,TCSS0E0,Eld Inlet,47.11399,-122.94886,27,19.1,18,24,4.348,26.7,,,8300,3410,2.3,0,Row 16 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
